#{"t_start": 1764620712.6507604, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,517,5.463892
2.0,828,17.40607
0.0,533,23.361511
3.0,1020,34.727355
1.0,707,41.019835
2.0,749,47.311399
1.0,652,53.339262
0.0,519,58.808446
0.0,518,64.813136
2.0,914,79.71923
2.0,835,88.692691
0.0,543,96.370699
0.0,528,104.004009
0.0,508,111.41632
7.0,1750,129.1311
1.0,700,135.337735
0.0,520,140.915357
0.0,532,146.341982
2.0,830,156.620396
0.0,523,167.040814
2.0,909,173.680251
10.0,1743,195.799441
1.0,720,209.105685
0.0,533,216.455169
9.0,1628,239.057232
0.0,519,246.349545
2.0,830,255.10099
1.0,707,263.419287
2.0,810,277.262483
0.0,531,284.606018
5.0,1332,301.045483
2.0,816,309.804171
4.0,1212,331.126142
3.0,997,350.106104
3.0,1036,359.907387
2.0,827,373.863761
1.0,641,381.795464
0.0,513,389.056447
1.0,703,397.075325
0.0,541,402.492257
4.0,1212,414.189928
9.0,1632,435.561089
0.0,529,442.906838
0.0,516,449.664388
0.0,511,455.349635
2.0,800,461.808312
2.0,833,473.299909
0.0,507,479.478154
10.0,1832,499.182735
0.0,524,505.510648
0.0,524,515.955743
2.0,829,522.446094
5.0,1313,538.703543
2.0,806,545.197459
2.0,817,555.770542
5.0,1398,568.23761
5.0,1324,584.473526
2.0,813,590.90777
4.0,1121,602.387417
7.0,1554,619.417938
0.0,523,625.004281
5.0,1414,641.368703
5.0,1310,656.351035
3.0,877,667.080088
2.0,777,673.444252
3.0,960,684.409781
3.0,951,695.267917
9.0,1918,713.254177
4.0,1115,724.640539
1.0,635,730.528101
5.0,1406,747.011146
7.0,1594,763.854495
11.0,1835,781.48915
5.0,1320,802.261195
3.0,941,814.98921
3.0,1099,827.349513
12.0,2098,845.855916
22.0,2597,874.016828
3.0,1019,885.132996
13.0,1287,901.314624
10.0,1828,919.179713
2.0,743,925.416746
1.0,637,931.333165
7.0,1015,949.171006
12.0,1302,967.665637
3.0,850,974.652749
8.0,1203,988.37665
7.0,1588,1006.682565
8.0,1904,1028.757555
13.0,1413,1045.449915
3.0,924,1052.333011
5.0,1219,1068.099868
16.0,1762,1085.664453
10.0,1775,1108.492929
15.0,1694,1125.979549
6.0,1519,1142.712188
23.0,1785,1166.685016
8.0,1135,1179.418754
11.0,1111,1192.153519
