#{"t_start": 1764620712.3814332, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,886,12.17204
3.0,938,23.733035
0.0,533,29.415508
0.0,531,35.041214
1.0,651,41.070258
0.0,530,46.611974
0.0,509,48.089816
0.0,501,53.642463
0.0,537,59.1393
0.0,505,65.06247
1.0,694,73.507807
2.0,886,88.300652
1.0,710,96.898358
8.0,1502,117.622978
0.0,523,123.199665
0.0,532,128.850552
0.0,524,134.452782
2.0,817,140.972488
0.0,532,146.419521
5.0,1338,167.331606
3.0,1009,174.258876
2.0,826,186.976035
9.0,1624,209.804018
9.0,1640,232.445103
3.0,1009,247.13237
0.0,520,254.378132
2.0,804,263.178841
4.0,1220,278.916085
0.0,503,286.267126
4.0,1204,302.261373
0.0,509,309.509705
0.0,536,317.065488
0.0,533,324.52767
5.0,1332,350.315511
1.0,700,358.598243
0.0,520,366.015083
6.0,1611,388.891509
0.0,533,396.347101
0.0,532,397.981412
2.0,823,408.311247
0.0,525,413.745545
0.0,533,419.326988
1.0,651,427.05149
0.0,527,434.429324
2.0,833,443.154484
0.0,524,449.91429
0.0,516,455.677941
0.0,536,461.174227
4.0,1122,473.684972
0.0,536,479.904442
5.0,1398,494.260299
0.0,517,499.76992
2.0,818,515.984997
2.0,813,522.465984
4.0,1216,534.259808
9.0,1620,555.607253
0.0,533,557.124681
0.0,527,562.645002
9.0,1636,579.811956
1.0,632,585.800081
0.0,525,591.273249
1.0,716,601.387764
1.0,620,607.22543
7.0,1558,624.368624
0.0,527,629.925058
2.0,815,636.309993
4.0,1130,647.693805
0.0,531,653.198076
0.0,528,661.680223
4.0,1122,673.188578
4.0,1045,684.493616
1.0,707,690.588174
3.0,957,701.464938
4.0,991,712.524927
9.0,1620,729.562061
3.0,884,736.275806
2.0,819,746.779692
0.0,536,752.302154
1.0,717,758.293535
1.0,700,764.373748
3.0,959,775.212554
4.0,1083,786.417719
8.0,1866,810.130991
3.0,1039,822.952642
12.0,1799,844.551653
5.0,1314,856.546671
1.0,640,862.40033
5.0,1282,874.32062
3.0,1008,885.389162
11.0,1926,907.7614
4.0,1165,919.386886
2.0,760,925.707255
1.0,644,935.685988
11.0,1583,957.451928
12.0,2000,981.598067
3.0,1024,994.581359
19.0,2683,1023.565482
3.0,1033,1034.833891
3.0,996,1046.123584
2.0,900,1056.953989
10.0,1842,1074.735579
26.0,2840,1109.082535
3.0,1116,1124.687006
11.0,1814,1142.397474
7.0,1535,1160.682461
5.0,1357,1174.634501
9.0,1821,1198.23131
4.0,1306,1210.247957
8.0,1591,1227.265914
6.0,1479,1250.676856
7.0,1659,1267.90014
20.0,2800,1297.071809
8.0,1937,1319.1384
10.0,2230,1343.464089
11.0,1707,1360.816237
21.0,3046,1401.106609
9.0,1878,1423.266552
6.0,1522,1440.086074
15.0,2335,1466.56234
16.0,2734,1497.803797
12.0,1899,1520.685977
10.0,2046,1550.60663
14.0,2553,1580.559585
9.0,1950,1603.142356
11.0,1107,1614.827396
9.0,1433,1631.476964
15.0,2765,1660.75311
14.0,1934,1683.795692
13.0,1895,1707.997826
10.0,1395,1724.313854
15.0,2634,1752.833291
29.0,2890,1782.062573
12.0,1307,1798.356816
9.0,1887,1816.276163
11.0,1892,1838.179004
13.0,2714,1874.865607
18.0,2034,1897.091442
12.0,1219,1911.269874
13.0,1342,1932.711079
12.0,2289,1961.447342
11.0,1802,1984.092681
14.0,2820,2033.384507
5.0,1341,2045.574964
7.0,1556,2062.579987
8.0,1810,2084.39882
18.0,2475,2109.497387
15.0,2713,2143.599355
14.0,2699,2194.580805
18.0,2526,2226.300152
12.0,2450,2254.342773
13.0,2443,2282.318592
14.0,2224,2305.550855
14.0,2306,2328.810146
13.0,1503,2354.457907
14.0,2722,2383.04223
24.0,2737,2411.913393
17.0,2858,2445.1246
16.0,2026,2467.502532
11.0,1912,2492.88969
16.0,2598,2521.176198
14.0,2847,2555.067339
9.0,1345,2567.252088
14.0,2734,2598.855285
17.0,2026,2622.656103
21.0,2054,2654.74146
18.0,2454,2685.591628
18.0,2787,2720.854741
16.0,2902,2758.91083
14.0,1555,2771.895756
7.0,1714,2793.523552
14.0,2715,2831.303748
22.0,2831,2862.985868
15.0,2381,2893.339378
15.0,2130,2922.161509
15.0,2901,2952.660657
15.0,1686,2978.711275
23.0,1815,3000.658786
13.0,2216,3026.292617
15.0,2580,3064.183636
23.0,2852,3097.009466
15.0,1619,3114.151374
8.0,1937,3145.212936
8.0,1833,3162.897122
11.0,1812,3184.538323
14.0,1475,3201.550114
21.0,2331,3224.923289
19.0,2106,3247.823723
16.0,2038,3279.065792
13.0,2517,3303.411755
16.0,1898,3325.827039
18.0,3273,3360.228844
19.0,2444,3388.473808
16.0,2852,3425.717602
17.0,2135,3448.754936
10.0,1964,3470.987107
22.0,2808,3500.101974
12.0,2429,3527.945146
15.0,2834,3557.296583
20.0,2985,3600.166542
11.0,2161,3623.563941
17.0,2058,3646.173707
16.0,1814,3663.936984
13.0,1359,3680.434474
17.0,2762,3709.311222
23.0,2960,3752.070008
19.0,2852,3781.253597
23.0,2724,3811.255148
20.0,3141,3845.131004
17.0,2332,3879.448301
18.0,2946,3912.787073
15.0,2583,3936.683012
16.0,2035,3959.070326
14.0,2550,3990.84539
14.0,2882,4042.816414
16.0,2715,4073.27616
16.0,2355,4099.940211
16.0,2026,4122.551842
15.0,1758,4141.146111
15.0,2562,4169.91104
29.0,3160,4222.174416
17.0,2888,4266.174309
15.0,1822,4285.643159
19.0,1815,4307.204889
10.0,2082,4330.102336
15.0,2739,4375.265865
13.0,2131,4400.93983
22.0,2333,4424.282665
27.0,2279,4451.405486
16.0,3035,4482.473144
15.0,1783,4513.758691
21.0,3268,4548.16833
18.0,2838,4577.162034
20.0,3583,4619.555905
20.0,2565,4647.50062
26.0,2411,4686.637563
17.0,2735,4715.557062
12.0,2036,4737.92609
24.0,3114,4771.836561
28.0,3509,4822.5095
20.0,3455,4861.609406
24.0,3645,4902.562666
16.0,2466,4931.513973
19.0,2979,4971.16477
21.0,2905,5006.750153
21.0,3091,5044.270979
14.0,2129,5069.017283
20.0,2058,5093.895842
22.0,3121,5140.11377
