#{"t_start": 1764620712.246473, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
19.0,2266,5329.974257
19.0,2554,5359.240793
20.0,2323,5386.73337
27.0,3077,5419.610412
13.0,2013,5453.278405
19.0,2327,5485.009968
12.0,2212,5509.06649
14.0,2304,5534.454082
13.0,1845,5557.69851
20.0,2167,5582.320411
30.0,3078,5632.868766
19.0,2624,5671.379475
14.0,2578,5704.584982
24.0,2850,5737.183744
33.0,4020,5802.776472
13.0,2608,5832.627384
25.0,2246,5857.119535
14.0,2436,5885.878185
42.0,4666,5948.565937
12.0,2334,5973.971489
24.0,3695,6016.706761
11.0,2140,6039.835899
16.0,2929,6073.495773
15.0,2806,6112.018729
24.0,3400,6151.438944
19.0,2258,6174.855289
23.0,3320,6209.881803
21.0,3794,6260.109974
35.0,3679,6304.299585
14.0,2667,6332.680107
14.0,2638,6361.068423
20.0,2836,6400.652258
19.0,2307,6432.405366
33.0,3277,6478.224706
16.0,2594,6511.699469
15.0,2486,6540.895664
18.0,1936,6582.071062
21.0,1805,6599.740266
17.0,2010,6622.178802
34.0,3768,6667.482122
16.0,2934,6706.540859
18.0,2371,6748.058594
19.0,2111,6773.038509
9.0,1945,6802.411693
23.0,3478,6854.71735
21.0,2170,6880.150782
24.0,2401,6906.6885
20.0,3238,6959.292532
30.0,3451,6994.52495
15.0,1535,7011.410822
17.0,2744,7040.095774
17.0,1870,7061.961947
25.0,3064,7105.03913
26.0,2337,7129.751586
28.0,3065,7166.533109
26.0,3874,7207.479873
30.0,3502,7255.151848
35.0,4061,7300.92028
35.0,3634,7341.063263
19.0,3117,7385.625311
28.0,2749,7414.702903
20.0,3290,7449.631031
23.0,3121,7485.593612
11.0,2193,7516.881173
22.0,3144,7577.833676
8.0,1883,7607.51254
40.0,3568,7660.898844
23.0,1915,7685.286321
21.0,2917,7725.161199
23.0,2966,7773.526302
13.0,2526,7811.42156
9.0,1840,7836.665961
14.0,2596,7869.173816
17.0,2422,7896.698169
32.0,3241,7945.911885
19.0,2702,7982.825832
8.0,1794,8011.668345
19.0,2611,8042.175049
17.0,2535,8070.35629
22.0,3237,8116.2175
26.0,2306,8139.722358
26.0,2453,8167.761904
19.0,2911,8197.280088
32.0,3629,8249.40562
11.0,2178,8274.605795
25.0,3518,8323.573245
41.0,2684,8353.269058
21.0,2281,8382.4845
32.0,4201,8440.630641
27.0,3271,8482.251966
22.0,3141,8520.783929
20.0,3161,8569.529371
22.0,3397,8610.84712
37.0,3165,8650.761501
28.0,4269,8701.180974
15.0,2208,8740.620328
37.0,4302,8794.629339
24.0,3139,8833.8693
18.0,2768,8870.610433
24.0,3679,8932.481896
17.0,2570,8960.90926
19.0,2734,9001.173608
23.0,3375,9047.898128
36.0,3732,9106.548909
30.0,3531,9148.528518
24.0,2353,9179.532968
28.0,3111,9216.182579
31.0,3939,9282.10127
17.0,3027,9317.759853
16.0,2581,9347.338135
20.0,2310,9371.591604
19.0,3131,9410.526587
21.0,3603,9470.021347
23.0,2225,9500.728297
30.0,3704,9550.159135
37.0,3913,9610.59296
30.0,3660,9654.330268
14.0,2665,9687.012528
29.0,2719,9718.495749
23.0,3054,9755.680776
19.0,1675,9784.253858
20.0,3184,9818.760459
22.0,2882,9852.785209
14.0,2502,9877.106406
12.0,1959,9900.202696
31.0,3753,9957.424086
17.0,2665,9986.09998
16.0,2804,10019.178298
19.0,3358,10054.208411
11.0,2222,10086.392836
23.0,3204,10120.91954
16.0,2408,10148.857442
29.0,3250,10183.454684
20.0,3133,10234.604765
21.0,3493,10275.123448
33.0,3791,10315.809213
26.0,3476,10355.379674
22.0,3083,10399.841402
15.0,1795,10417.521549
36.0,3771,10459.088475
10.0,2270,10486.908415
29.0,3211,10526.450914
28.0,3736,10588.095783
17.0,3099,10628.349146
27.0,2773,10658.189421
19.0,2874,10697.68633
25.0,3325,10757.767473
13.0,2602,10795.562664
22.0,3060,10830.97063
37.0,3775,10872.019359
17.0,3105,10916.946956
24.0,2715,10946.030977
28.0,3065,10979.847703
23.0,2703,11008.65571
15.0,2760,11048.937358
24.0,3074,11083.031478
23.0,3522,11122.63418
16.0,2628,11151.134196
23.0,2865,11180.489283
35.0,3484,11231.70335
31.0,3389,11267.432506
24.0,2431,11295.947917
33.0,4041,11353.321043
17.0,2746,11381.956387
24.0,3163,11416.974094
43.0,4369,11463.96913
49.0,5659,11541.086023
23.0,3300,11581.030581
30.0,4056,11622.947294
39.0,4584,11686.102235
27.0,1817,11708.313588
32.0,3361,11743.558352
28.0,3375,11783.848659
13.0,2452,11820.975137
19.0,2946,11855.726462
22.0,2672,11885.28018
18.0,3098,11920.062458
29.0,2560,11949.582604
11.0,2039,11982.350325
45.0,5059,12035.535015
21.0,3263,12073.398135
44.0,5107,12151.377174
19.0,2778,12184.69948
31.0,1986,12203.490233
24.0,1909,12225.575296
18.0,3161,12260.60502
40.0,4521,12331.065526
27.0,3081,12375.32305
26.0,2417,12404.524167
25.0,3580,12458.281179
29.0,3794,12501.814805
35.0,3766,12551.31377
14.0,2619,12589.124283
15.0,2567,12631.469929
40.0,3417,12672.72936
16.0,2491,12700.786666
