#{"t_start": 1764620712.7896612, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,649,10.818198
0.0,509,12.464751
0.0,537,18.234574
0.0,527,24.148894
0.0,529,29.823737
0.0,496,35.366055
2.0,836,46.046079
0.0,526,47.580745
3.0,1030,58.793139
1.0,649,65.405249
2.0,813,79.894356
2.0,804,88.795193
0.0,523,96.440319
0.0,508,103.994994
1.0,707,111.999402
10.0,1738,133.849721
8.0,1416,146.241998
2.0,901,156.797814
2.0,812,168.238451
1.0,693,178.451643
0.0,523,180.700196
0.0,531,187.878091
0.0,535,195.120328
3.0,1012,209.848293
0.0,520,217.138968
0.0,527,224.309827
1.0,636,232.116953
0.0,501,239.330106
2.0,813,248.046355
2.0,814,261.945744
0.0,540,269.335627
0.0,539,276.701969
2.0,806,285.415288
3.0,1002,300.395669
3.0,924,309.70501
0.0,509,317.16852
0.0,528,324.62398
0.0,523,332.072596
10.0,1643,359.383361
0.0,520,366.847291
2.0,817,380.801654
3.0,1009,390.414969
0.0,524,397.351282
5.0,1487,413.866721
0.0,532,419.490352
0.0,525,426.760241
3.0,998,441.586569
2.0,813,449.800347
6.0,1548,467.336516
9.0,1616,486.224639
0.0,513,492.69955
4.0,1189,505.608649
9.0,1636,527.685847
9.0,1632,544.986465
1.0,714,555.214687
2.0,818,561.631135
1.0,709,567.771061
5.0,1414,584.260962
0.0,520,589.745344
9.0,2030,612.205637
2.0,761,618.538189
4.0,1103,630.026402
4.0,1068,641.192388
3.0,891,647.824739
1.0,641,656.644317
2.0,763,666.980048
0.0,531,672.537348
2.0,911,679.427817
3.0,871,690.046865
1.0,639,695.927359
2.0,809,706.368934
0.0,528,707.824401
1.0,640,717.729657
2.0,839,724.156152
3.0,871,734.858765
0.0,532,740.379174
5.0,1205,752.121353
4.0,1198,763.693693
7.0,999,774.729419
3.0,1034,785.789582
5.0,1275,802.380953
10.0,1431,821.732124
11.0,2018,840.042959
1.0,640,849.949034
10.0,2072,872.374371
2.0,807,878.852371
3.0,1007,889.966139
2.0,836,896.494613
8.0,1199,908.288669
11.0,1898,930.444213
3.0,1108,948.496927
2.0,816,961.645264
4.0,1068,972.963059
7.0,1695,993.168908
4.0,1081,1005.219614
13.0,1411,1017.653016
16.0,2216,1045.040832
2.0,819,1051.577957
15.0,2376,1075.071088
4.0,1155,1090.6654
13.0,1735,1113.336952
7.0,1608,1130.52592
18.0,2354,1154.46541
10.0,2237,1185.673564
19.0,2149,1208.988332
4.0,1220,1220.819382
8.0,1832,1238.512625
10.0,1539,1262.114736
11.0,2014,1284.671727
22.0,2609,1312.969896
7.0,1607,1329.986359
11.0,1107,1342.637209
8.0,1143,1354.148146
20.0,2708,1382.940741
13.0,2015,1411.836375
15.0,2146,1434.639815
21.0,2669,1466.267079
