#{"t_start": 1764620713.1937318, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,910,11.428683
1.0,644,17.591171
1.0,693,24.113829
0.0,517,29.804255
1.0,702,40.142578
4.0,1138,51.80161
3.0,934,58.630606
0.0,501,64.647982
1.0,726,78.623903
5.0,1514,96.385544
0.0,512,103.962236
4.0,1220,117.510278
1.0,703,127.821141
3.0,1001,134.983011
1.0,703,145.042456
0.0,528,150.416437
0.0,501,151.873367
9.0,1624,177.972152
0.0,537,180.228638
0.0,524,187.442762
2.0,813,201.228975
0.0,521,208.492195
0.0,540,215.843583
2.0,825,224.463171
0.0,532,231.733405
0.0,520,239.027717
4.0,1212,254.745662
0.0,525,262.034546
0.0,507,269.317081
5.0,1414,286.145253
3.0,1005,301.072669
1.0,617,308.883108
0.0,524,316.397768
0.0,515,323.854841
2.0,817,337.932029
0.0,528,344.113454
0.0,529,351.595189
10.0,1890,381.165468
4.0,1058,396.146187
3.0,1001,407.104505
5.0,1426,419.868845
3.0,1000,434.71443
0.0,508,441.961889
0.0,528,448.664514
4.0,1200,460.824082
5.0,1422,478.965148
2.0,809,486.174168
2.0,825,497.868954
0.0,517,503.937656
4.0,1213,520.843914
0.0,531,526.371335
0.0,541,531.957468
2.0,810,538.509123
0.0,525,544.01006
5.0,1324,556.255881
0.0,516,561.779607
0.0,519,567.310743
1.0,625,573.194974
0.0,528,578.653593
0.0,515,584.241654
9.0,1534,601.030403
1.0,645,606.923741
2.0,834,613.473582
6.0,1600,630.696747
5.0,1195,646.24736
0.0,515,651.758679
1.0,619,660.580866
3.0,1039,671.770632
5.0,1311,683.923889
2.0,920,694.654938
0.0,515,696.145803
8.0,1890,718.103552
0.0,520,723.543503
7.0,1023,734.699204
11.0,1998,756.944443
7.0,1593,769.812452
3.0,879,780.400425
17.0,1974,808.198014
3.0,1116,821.516901
10.0,1748,838.981815
10.0,1808,856.631996
10.0,1457,873.100623
5.0,1319,889.287193
5.0,1359,901.64348
4.0,1316,917.904087
3.0,1001,925.038813
0.0,516,930.506596
9.0,1920,961.817232
7.0,1427,979.23869
12.0,2346,1005.391582
13.0,1506,1022.120099
3.0,927,1033.09476
10.0,1439,1045.781703
2.0,920,1056.616568
4.0,1216,1068.347203
7.0,1597,1085.325574
3.0,947,1101.379629
8.0,1720,1118.968354
7.0,1716,1136.441918
5.0,1268,1152.886431
12.0,2106,1178.681601
12.0,1980,1198.365521
9.0,1265,1214.334763
10.0,1849,1232.160743
7.0,1677,1256.146146
13.0,2187,1279.135
14.0,2403,1306.818133
8.0,1804,1324.548073
19.0,2161,1348.605437
12.0,1286,1364.691667
9.0,1335,1376.850849
16.0,2204,1406.372111
15.0,2158,1433.349339
13.0,1507,1446.047822
12.0,2068,1471.729656
17.0,1951,1496.129599
10.0,2153,1520.114161
9.0,1941,1542.556659
7.0,1653,1572.077948
17.0,2326,1596.128772
9.0,2126,1619.587129
10.0,2182,1642.863399
15.0,2362,1671.291864
18.0,2591,1706.124044
17.0,2736,1734.772091
7.0,1517,1751.614871
8.0,1803,1769.215091
17.0,2586,1797.672544
10.0,2076,1820.228288
15.0,2415,1851.828372
12.0,2098,1874.403421
10.0,1928,1896.307207
27.0,1480,1916.82995
12.0,2497,1948.74228
13.0,1503,1967.717817
10.0,2126,1997.989255
8.0,1208,2022.296045
5.0,1248,2038.24954
24.0,2957,2067.869055
10.0,1666,2089.244624
19.0,2662,2122.481742
10.0,1467,2137.002612
7.0,1536,2154.272465
14.0,2678,2203.046401
9.0,2004,2230.737305
12.0,2426,2258.63913
13.0,1418,2271.13565
14.0,1542,2288.028834
17.0,2334,2315.555343
21.0,2883,2353.675969
13.0,2371,2381.19311
16.0,1325,2393.250099
15.0,2181,2416.373748
12.0,1211,2428.136754
9.0,1891,2450.074005
18.0,1701,2467.362865
12.0,2544,2502.894635
28.0,3125,2537.709318
15.0,2561,2565.916806
14.0,1622,2584.247896
12.0,1728,2604.667755
6.0,1626,2621.778611
11.0,1892,2653.422103
17.0,2557,2684.571837
15.0,2795,2719.960896
18.0,2550,2752.758044
11.0,1809,2770.641193
17.0,2304,2805.898768
