#{"t_start": 1764620712.9241178, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
3.0,921,11.806802
1.0,706,18.196623
3.0,1021,29.904762
1.0,637,35.835537
3.0,1022,47.124157
0.0,516,52.737026
0.0,539,58.252152
1.0,712,65.029571
1.0,655,73.137837
0.0,540,80.831861
1.0,628,88.916989
2.0,829,103.425581
3.0,1010,116.600978
8.0,1488,133.628595
0.0,536,135.088887
0.0,540,140.669685
2.0,838,150.980826
6.0,1538,172.545557
0.0,537,178.354948
2.0,821,186.915919
1.0,645,194.683159
1.0,641,202.529362
2.0,829,216.402969
5.0,1418,232.885897
0.0,507,240.125168
6.0,1545,262.533455
6.0,1598,285.441229
0.0,505,292.732338
4.0,1202,308.629839
5.0,1310,330.538757
2.0,793,339.299293
0.0,535,350.763027
0.0,508,358.134364
1.0,632,366.133102
2.0,833,374.91551
0.0,512,382.285914
0.0,520,389.630782
3.0,1004,402.260221
0.0,528,407.722413
0.0,535,413.158213
0.0,507,418.717064
3.0,1089,433.835664
0.0,533,441.13741
0.0,539,443.410296
5.0,1411,461.006552
0.0,527,467.008096
0.0,527,473.062517
0.0,511,479.254841
0.0,521,485.190063
0.0,508,487.173418
0.0,524,493.623721
9.0,1632,516.49893
0.0,532,522.002401
5.0,1394,538.527801
10.0,1830,556.404036
11.0,1930,578.65368
5.0,1414,595.136523
1.0,703,601.248536
0.0,536,606.781097
0.0,508,612.322823
0.0,532,617.887097
9.0,1644,635.067185
5.0,1336,647.115783
2.0,820,660.595995
2.0,815,667.031643
0.0,516,672.612935
2.0,832,679.204628
1.0,736,689.341909
5.0,1269,701.28622
9.0,1959,723.440148
2.0,831,729.95453
2.0,800,740.459385
4.0,997,747.526276
7.0,1797,769.047829
8.0,1799,786.608963
5.0,1396,808.601451
5.0,1331,822.648542
1.0,636,828.482562
10.0,1828,850.174211
3.0,932,860.986548
2.0,912,867.674596
1.0,628,873.51977
12.0,1839,895.481328
0.0,540,901.019407
10.0,1595,918.194683
0.0,532,923.735756
5.0,1341,935.985921
8.0,1119,955.990082
3.0,1000,967.738592
5.0,1440,986.176445
8.0,1725,1005.345904
8.0,1994,1027.738813
10.0,1542,1040.639206
4.0,1297,1056.944968
5.0,1504,1073.639281
2.0,824,1080.101124
2.0,823,1090.647105
4.0,1190,1107.536636
5.0,1407,1120.00076
12.0,1979,1142.389088
11.0,1099,1154.22074
9.0,1335,1173.111907
11.0,2222,1197.995888
3.0,876,1208.661509
13.0,1971,1226.887001
22.0,2759,1262.412491
16.0,1967,1284.745291
11.0,2024,1307.169316
8.0,1869,1325.042772
8.0,1779,1347.942204
5.0,1271,1359.857717
13.0,2114,1382.692515
