#{"t_start": 1764620713.0588615, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,700,10.747931
2.0,817,17.596256
0.0,519,23.551659
1.0,708,29.871981
1.0,711,40.203394
0.0,519,41.705072
0.0,539,47.287945
2.0,823,57.828364
0.0,523,63.453673
1.0,700,71.957958
2.0,896,86.79881
1.0,704,95.37131
0.0,529,102.988393
2.0,773,111.437438
4.0,1290,127.689435
6.0,1556,140.688357
8.0,1518,161.739233
0.0,525,167.56789
0.0,498,172.858352
0.0,531,178.86604
3.0,1024,193.433994
2.0,821,202.189574
0.0,517,209.46619
0.0,528,216.800199
12.0,1736,239.935201
2.0,809,253.764462
0.0,527,261.104288
0.0,519,263.389836
6.0,1512,285.834344
1.0,648,293.760381
0.0,539,301.260373
0.0,517,308.512775
0.0,508,316.016118
2.0,820,324.891483
2.0,821,338.901648
5.0,1337,359.42722
0.0,524,366.891091
0.0,515,374.216089
2.0,821,388.143421
0.0,528,395.600935
5.0,1420,408.069813
0.0,532,413.491669
0.0,511,419.050518
6.0,1415,440.964287
0.0,528,443.204267
1.0,712,454.577124
0.0,533,460.109743
9.0,1624,478.930918
0.0,509,484.907194
0.0,520,486.865835
0.0,516,493.347831
5.0,1415,515.566339
5.0,1422,532.049119
0.0,543,533.550713
3.0,1015,544.815526
0.0,541,550.368413
0.0,523,555.895371
0.0,516,561.414694
0.0,525,566.904539
5.0,1426,579.33345
1.0,703,589.540265
2.0,809,596.019391
0.0,529,601.511725
0.0,535,607.046217
0.0,504,612.543086
0.0,527,618.097018
3.0,1059,629.4219
5.0,1303,641.400366
5.0,1302,656.313261
3.0,935,667.215196
3.0,1040,678.542462
2.0,907,689.281106
2.0,916,695.999789
6.0,1593,713.01483
5.0,1268,728.902334
2.0,814,735.424021
5.0,1251,747.328875
4.0,1131,758.662232
4.0,1055,769.895202
6.0,1509,786.558532
3.0,1025,802.378755
6.0,1602,822.205077
2.0,756,828.421967
2.0,837,838.824379
5.0,1331,850.909799
11.0,1871,872.642713
7.0,1407,884.988049
5.0,1398,901.531166
5.0,1281,913.541725
3.0,963,924.623535
3.0,1020,935.886333
22.0,2637,973.623931
21.0,2832,1006.156623
19.0,2128,1028.997686
10.0,1977,1051.607378
12.0,2020,1074.026965
12.0,1902,1101.231205
4.0,1311,1113.394261
5.0,1281,1125.431852
9.0,1395,1141.824298
4.0,1198,1153.966875
18.0,2498,1186.014556
12.0,1302,1198.563986
11.0,1651,1215.736016
3.0,971,1226.667406
5.0,1418,1249.882032
12.0,1790,1267.486119
15.0,2215,1290.680681
11.0,1997,1312.889709
16.0,2564,1342.294686
7.0,1818,1360.007191
10.0,2073,1382.783823
12.0,2272,1416.509573
14.0,2111,1439.302861
11.0,2078,1459.456554
12.0,2010,1483.428614
15.0,2276,1513.948828
9.0,1339,1526.265387
15.0,2866,1571.869976
11.0,2433,1596.461619
6.0,1545,1613.934227
8.0,1123,1625.586045
11.0,2237,1649.055663
8.0,1807,1671.571522
7.0,1571,1689.217313
8.0,1203,1706.71283
4.0,1308,1718.750189
9.0,1802,1740.442717
14.0,2633,1768.927465
11.0,2366,1792.467997
12.0,2346,1820.112295
12.0,1286,1832.033036
14.0,2756,1868.763254
12.0,1167,1880.261883
11.0,1904,1902.388049
11.0,2299,1933.543263
20.0,2646,1968.170361
11.0,1900,1997.393296
7.0,1585,2027.203535
11.0,2311,2050.595268
9.0,1980,2073.092619
10.0,1507,2089.927859
14.0,2218,2116.131108
7.0,1599,2136.717229
9.0,2032,2160.623482
18.0,2541,2209.475217
13.0,2563,2241.433776
10.0,2127,2264.390996
13.0,2258,2287.620275
12.0,2148,2310.538139
16.0,1891,2328.368936
14.0,1642,2354.411944
29.0,3100,2388.24453
15.0,1682,2409.707231
12.0,1997,2428.049185
16.0,2810,2460.906258
16.0,2571,2496.62358
15.0,2116,2519.286046
15.0,1739,2537.584373
20.0,2824,2566.629322
17.0,2566,2597.592073
17.0,2250,2622.312485
12.0,2446,2659.856806
14.0,1622,2678.169145
12.0,1879,2707.589908
27.0,2764,2741.630469
13.0,1867,2759.722687
15.0,2484,2787.980034
18.0,2219,2818.817971
18.0,2758,2855.646596
15.0,2612,2885.324119
10.0,2015,2907.940941
13.0,2320,2939.772394
12.0,1311,2951.925742
14.0,2077,2983.377255
21.0,2363,3011.302525
17.0,1895,3033.914689
19.0,2616,3072.064715
11.0,2008,3095.916789
18.0,2468,3132.711635
15.0,2825,3161.723613
15.0,2421,3189.417617
15.0,1831,3207.498404
16.0,2208,3230.522918
12.0,1235,3246.590536
14.0,2034,3273.700969
16.0,1874,3296.098004
14.0,1511,3313.192155
13.0,2196,3336.317355
13.0,1375,3348.482435
17.0,2709,3381.410208
11.0,2260,3404.750575
11.0,2175,3436.118423
12.0,1231,3447.823222
21.0,3054,3481.578633
17.0,1973,3504.046126
17.0,1934,3522.218572
14.0,2689,3555.22071
20.0,2920,3593.875907
21.0,2017,3616.774601
15.0,1784,3634.422447
20.0,3158,3668.663018
20.0,2712,3701.841385
21.0,2873,3740.113717
12.0,1936,3762.47785
17.0,2900,3792.587138
13.0,2188,3816.062432
13.0,2215,3842.976297
21.0,2998,3879.345719
9.0,2052,3901.65548
21.0,3147,3935.476094
16.0,2728,3964.035299
11.0,1583,3983.043879
20.0,2772,4036.417807
18.0,2126,4059.145713
13.0,2697,4092.661878
19.0,2910,4122.062824
15.0,2687,4152.439146
17.0,3028,4198.493637
19.0,2291,4229.336322
14.0,2703,4272.331279
14.0,2524,4296.516191
11.0,1910,4318.414566
14.0,1542,4336.554484
18.0,2928,4383.681451
16.0,2051,4406.662322
14.0,2062,4429.009586
12.0,2462,4457.231911
29.0,3820,4499.215321
10.0,2095,4530.671267
13.0,2934,4563.948828
20.0,2378,4587.477082
11.0,2297,4617.68064
17.0,2026,4635.926844
19.0,2234,4673.600474
20.0,2269,4697.891279
13.0,2798,4726.67389
19.0,2511,4754.521939
17.0,2912,4790.789094
16.0,2488,4827.294948
21.0,2956,4860.66955
18.0,2738,4890.449418
12.0,2502,4919.049849
23.0,1875,4937.725845
26.0,3210,4987.789267
20.0,3243,5025.155165
19.0,2652,5055.165959
17.0,2620,5087.156039
20.0,2286,5112.029407
20.0,2892,5156.849411
33.0,3340,5193.866721
26.0,3784,5238.397466
19.0,2699,5269.452105
24.0,3040,5311.594679
16.0,1887,5333.862188
23.0,3141,5369.110709
25.0,3535,5407.519655
23.0,3366,5458.240665
18.0,2782,5491.746647
14.0,2214,5515.590635
18.0,2391,5545.141159
25.0,2250,5570.758402
23.0,2948,5617.609007
20.0,1885,5641.64133
14.0,1562,5664.382827
17.0,2596,5698.739353
11.0,2098,5724.435646
38.0,3910,5786.711325
11.0,2145,5814.591151
13.0,2046,5837.498101
24.0,3405,5873.773362
20.0,3117,5908.956215
20.0,2683,5948.64864
21.0,3339,5990.598672
25.0,3219,6026.928273
21.0,2873,6056.160973
23.0,3516,6105.065538
18.0,2227,6128.329982
11.0,2135,6151.571433
18.0,2709,6180.478029
18.0,2816,6213.965131
13.0,1868,6241.800311
41.0,3878,6286.319463
14.0,2338,6309.910187
18.0,2818,6338.787709
28.0,1730,6360.37601
16.0,2497,6394.471513
18.0,2846,6437.650607
12.0,1946,6458.745182
26.0,3480,6504.556677
23.0,2341,6538.41836
20.0,1754,6574.859817
20.0,2121,6598.172188
21.0,1849,6616.023283
15.0,2241,6642.975739
24.0,3267,6688.340815
32.0,3904,6741.710642
22.0,2778,6785.314981
42.0,4527,6847.608704
15.0,2758,6886.208073
18.0,2139,6910.225176
22.0,2662,6952.930532
21.0,2031,6975.505622
33.0,1908,6993.532394
25.0,2686,7022.160325
25.0,1951,7044.4508
30.0,3348,7088.232644
26.0,3364,7128.266137
15.0,1822,7149.073671
27.0,3362,7188.23572
18.0,2810,7225.600145
22.0,3619,7265.68696
21.0,2129,7288.726047
33.0,4411,7335.488646
18.0,2696,7374.56049
26.0,3921,7419.77857
18.0,3206,7454.474586
20.0,3458,7499.401923
31.0,3205,7560.740422
26.0,2397,7592.890819
29.0,4400,7660.84679
19.0,2141,7691.642069
26.0,2167,7718.911425
26.0,2833,7765.117554
29.0,3366,7817.529707
27.0,3874,7863.748198
16.0,2647,7896.13712
15.0,2509,7936.852352
29.0,3050,7980.70684
17.0,3044,8024.125087
27.0,2033,8046.626142
20.0,2953,8087.452989
17.0,2830,8120.747327
35.0,3645,8160.68763
28.0,3354,8195.716154
26.0,3521,8247.359568
17.0,2460,8273.63828
24.0,2307,8309.972657
19.0,2906,8340.786322
26.0,2723,8370.800665
17.0,3128,8417.713313
27.0,3633,8463.556237
31.0,2613,8493.614159
26.0,3466,8537.713127
10.0,1990,8574.761497
26.0,3002,8610.123904
22.0,3674,8657.594036
30.0,2825,8688.536652
24.0,3497,8746.860105
16.0,2972,8782.640786
18.0,3102,8819.647493
18.0,2870,8855.97894
21.0,2743,8888.322635
28.0,3790,8953.936986
12.0,1949,8977.941886
20.0,3327,9024.834497
31.0,3554,9073.39083
25.0,3277,9123.993257
17.0,2508,9153.991357
9.0,1947,9179.491091
32.0,2178,9208.504566
38.0,2350,9233.282005
46.0,3907,9298.497007
23.0,2894,9329.758999
46.0,4386,9383.445672
33.0,3979,9440.239326
24.0,3457,9492.403605
28.0,2861,9532.415468
39.0,4063,9581.503107
31.0,3062,9627.824175
27.0,2701,9662.43358
27.0,2701,9692.888972
10.0,2011,9718.213813
23.0,1829,9743.127707
15.0,2595,9782.807419
37.0,3994,9824.448742
28.0,3393,9863.76355
24.0,2235,9887.54008
16.0,1803,9905.855659
24.0,3053,9956.552625
27.0,3299,9995.460072
26.0,3291,10030.128047
18.0,2933,10059.743157
21.0,2990,10102.54465
24.0,2838,10135.892068
26.0,2606,10160.275746
3.0,883,10171.048107
19.0,2047,10193.981483
17.0,2143,10217.312027
44.0,4628,10286.158227
17.0,2405,10309.850807
32.0,3962,10354.997985
29.0,3807,10405.907503
20.0,3086,10440.272807
21.0,3137,10475.770478
33.0,3305,10519.61608
23.0,2313,10561.095245
30.0,3406,10603.791073
20.0,2692,10638.966066
38.0,4652,10697.032857
41.0,4148,10771.455353
22.0,2895,10806.805512
17.0,2550,10836.314202
26.0,3497,10876.656498
18.0,2591,10915.753631
15.0,2813,10945.138677
24.0,3019,10978.804497
26.0,2467,11002.803215
32.0,3196,11048.533155
28.0,3128,11082.862016
28.0,3941,11127.903715
22.0,2482,11156.000266
23.0,3295,11201.380128
31.0,2394,11230.331318
49.0,4607,11278.350497
22.0,2090,11301.636373
24.0,3204,11352.159969
29.0,2358,11375.573533
19.0,3143,11410.255966
45.0,4299,11457.144949
33.0,4130,11516.849246
25.0,2982,11551.274956
26.0,2315,11575.515942
28.0,3385,11615.342616
37.0,3985,11667.838568
28.0,3855,11713.579652
25.0,4147,11759.721771
15.0,2870,11790.105795
14.0,2362,11830.91838
14.0,2528,11856.066185
30.0,3509,11896.907717
15.0,2643,11925.63049
18.0,2844,11970.237082
22.0,2735,11999.324365
32.0,3508,12039.268544
22.0,2831,12071.62613
20.0,1893,12092.359793
22.0,2901,12143.978364
19.0,2847,12173.612773
19.0,2871,12207.622365
23.0,3489,12247.292272
19.0,3384,12295.94359
51.0,5313,12369.476118
30.0,3747,12416.069656
22.0,3450,12470.256041
22.0,2953,12505.790401
38.0,4214,12558.307995
28.0,3148,12601.118867
38.0,3984,12660.75714
26.0,3248,12699.724427
35.0,3374,12735.080216
25.0,3049,12772.411839
36.0,3956,12827.790442
17.0,3032,12869.046317
33.0,3664,12909.165783
34.0,3289,12957.12287
36.0,3911,12997.876384
19.0,2919,13031.081706
36.0,3866,13071.597056
26.0,3243,13119.089898
39.0,4740,13178.034687
25.0,3195,13219.380302
51.0,4799,13293.181195
22.0,3124,13335.53572
28.0,3029,13370.461511
10.0,2131,13395.416077
29.0,3602,13444.644837
54.0,4793,13511.488787
34.0,3747,13552.838007
14.0,2567,13583.077973
30.0,2553,13626.552267
27.0,3144,13668.069093
35.0,3685,13708.484688
28.0,3211,13742.978977
40.0,4741,13809.38674
45.0,4256,13856.661779
26.0,2237,13880.903368
32.0,4185,13948.650922
31.0,3189,13982.958349
26.0,3254,14021.465839
17.0,3103,14051.3953
54.0,5670,14132.668427
21.0,3296,14171.701174
34.0,4016,14213.417179
17.0,2051,14247.383209
23.0,2253,14275.010554
19.0,2735,14307.081623
28.0,3093,14341.45421
30.0,3397,14386.018681
25.0,3322,14439.646886
43.0,4607,14487.026341
27.0,3584,14526.988378
27.0,3155,14580.125606
36.0,4403,14635.861528
25.0,3100,14671.686687
27.0,3682,14726.559516
25.0,2942,14759.015381
42.0,4154,14812.805109
22.0,3515,14861.659941
32.0,3630,14918.148428
28.0,3751,14962.626321
14.0,2503,14993.178359
30.0,2947,15031.12427
21.0,2902,15089.383065
14.0,2494,15119.547399
31.0,3559,15159.561309
33.0,3269,15194.797741
32.0,3084,15240.712619
45.0,4639,15292.400782
26.0,3106,15326.8124
18.0,3104,15360.84863
19.0,3176,15411.868126
39.0,4573,15459.760527
27.0,2322,15487.639598
13.0,2547,15516.694808
20.0,2652,15558.562585
33.0,3619,15598.484925
32.0,4548,15646.116515
31.0,4071,15702.551169
37.0,4439,15752.905997
25.0,3211,15786.916992
46.0,5121,15855.354953
30.0,3320,15889.901087
17.0,3044,15923.897552
25.0,3674,15963.852725
25.0,2570,16004.188018
36.0,3943,16044.921894
25.0,2555,16072.958657
31.0,3368,16111.821237
29.0,3140,16159.118711
20.0,3099,16192.891035
21.0,3011,16222.547375
15.0,2131,16245.222163
44.0,5308,16324.74369
19.0,2646,16358.68109
15.0,2491,16385.970384
29.0,4135,16435.693387
19.0,2203,16476.22227
39.0,4482,16533.825264
26.0,3009,16571.580101
25.0,3768,16619.688332
24.0,3511,16682.37483
44.0,3820,16727.554687
36.0,4012,16774.970397
17.0,2574,16805.200437
32.0,4054,16866.553731
43.0,5127,16938.664805
35.0,4676,17016.251283
54.0,5413,17090.11309
24.0,3515,17137.755468
28.0,3906,17207.13196
33.0,4085,17261.411093
19.0,3081,17299.016297
39.0,3806,17353.377583
51.0,4578,17427.969797
23.0,2218,17458.526354
