#{"t_start": 1764620712.5160766, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,542,5.664637
0.0,516,12.367686
1.0,736,23.187842
1.0,704,29.49131
1.0,723,35.711546
1.0,621,41.703979
2.0,776,52.184018
0.0,519,53.681973
2.0,882,64.778171
2.0,814,73.775779
1.0,712,87.717953
0.0,515,95.313185
2.0,900,104.834734
0.0,527,112.063253
0.0,525,117.574232
0.0,507,123.151314
2.0,815,129.726429
5.0,1412,146.202157
0.0,521,151.628598
0.0,516,157.040789
1.0,720,168.096792
3.0,934,179.297339
2.0,796,187.844156
0.0,511,195.028127
2.0,818,208.81307
2.0,830,217.610495
0.0,524,224.785307
0.0,512,231.98963
2.0,810,240.659431
2.0,813,254.487577
4.0,1208,270.281982
3.0,1019,285.20887
2.0,809,293.994143
0.0,533,301.439037
3.0,1020,316.437444
2.0,818,325.314999
0.0,524,332.725168
0.0,535,340.118724
0.0,507,351.549396
3.0,1015,366.477997
0.0,540,373.836697
0.0,543,381.272169
4.0,1136,396.694115
1.0,721,402.740372
0.0,529,408.242986
4.0,1212,420.187031
0.0,513,427.494265
0.0,521,434.923424
4.0,1223,450.129887
5.0,1430,467.109827
1.0,735,473.870035
2.0,813,485.506861
0.0,531,487.517295
5.0,1414,505.731156
9.0,1644,527.787627
2.0,825,538.424242
0.0,525,539.930064
0.0,492,545.439231
5.0,1410,561.939794
5.0,1426,578.421557
0.0,531,579.908034
0.0,533,585.519856
0.0,515,590.980866
0.0,511,596.48651
5.0,1402,612.957553
0.0,525,618.552377
2.0,744,624.846877
6.0,1556,641.663169
0.0,531,647.102375
1.0,637,652.950836
1.0,631,661.77832
0.0,531,667.203906
5.0,1239,679.265093
10.0,1806,700.975651
7.0,1513,713.74145
5.0,1263,729.597954
1.0,636,735.500574
2.0,855,742.021037
12.0,2222,768.968214
2.0,811,775.409152
8.0,1203,787.060306
9.0,1909,815.607076
3.0,863,823.179273
7.0,1476,839.642072
2.0,820,850.107079
7.0,1011,857.121764
8.0,1718,878.490712
7.0,1826,896.307744
3.0,1043,907.555508
12.0,2446,935.600503
17.0,2350,968.226661
24.0,2864,1001.088009
2.0,839,1011.630111
12.0,1310,1023.610065
11.0,2075,1046.492762
2.0,816,1057.042531
4.0,1063,1068.293341
10.0,1891,1086.232992
7.0,1715,1108.850121
12.0,1996,1131.354658
14.0,1410,1147.725273
15.0,2202,1174.016737
7.0,1695,1193.064604
4.0,1327,1209.197285
10.0,2192,1232.16628
9.0,1247,1250.772502
15.0,1738,1268.216861
19.0,1737,1289.883708
9.0,1630,1306.927885
18.0,2455,1330.683497
28.0,2932,1365.389794
9.0,1259,1377.300051
14.0,2715,1412.597231
6.0,1403,1428.978523
9.0,2033,1451.605372
8.0,1944,1472.821327
7.0,1642,1490.748191
8.0,1592,1510.107644
12.0,1903,1532.521155
11.0,1095,1551.396265
11.0,1931,1579.119215
5.0,1410,1591.543144
6.0,1534,1608.9446
12.0,2000,1631.606778
7.0,1017,1642.919229
17.0,2570,1672.050367
6.0,1531,1689.586338
14.0,1498,1708.062388
15.0,2184,1731.004277
7.0,1574,1747.884397
7.0,1642,1765.059598
11.0,1091,1776.451243
14.0,1631,1797.818384
16.0,2496,1821.693843
13.0,1427,1838.068151
11.0,1687,1863.395895
15.0,1610,1880.364365
15.0,2596,1910.70961
11.0,2376,1942.072588
17.0,2655,1982.054958
12.0,2092,2012.111417
17.0,2324,2044.858113
9.0,1884,2062.962974
10.0,2208,2090.086813
8.0,1874,2109.14502
12.0,1819,2136.506323
14.0,2281,2161.213504
15.0,1830,2196.244991
14.0,2099,2226.041018
15.0,1694,2243.505743
15.0,1767,2265.313468
11.0,2413,2288.973341
13.0,1426,2305.564464
15.0,2239,2328.543354
13.0,2762,2366.143064
12.0,1934,2388.305179
9.0,1897,2410.533471
18.0,2749,2439.358051
18.0,2163,2462.066161
12.0,2021,2491.869705
18.0,2739,2520.613082
19.0,2542,2549.524667
11.0,1663,2566.739641
15.0,2343,2592.816349
12.0,1294,2610.388108
14.0,2756,2648.798138
17.0,2487,2677.836243
23.0,3592,2727.22435
14.0,1600,2747.432755
12.0,2459,2771.517105
15.0,2603,2807.70405
19.0,2637,2839.839627
16.0,2244,2863.316808
14.0,1538,2880.425993
9.0,2075,2908.17297
18.0,2914,2946.15571
18.0,2737,2983.834421
11.0,1945,3006.285323
21.0,2344,3034.503754
16.0,2355,3071.3411
9.0,2112,3095.891226
8.0,1990,3114.302448
12.0,1290,3139.189517
18.0,3017,3172.811352
14.0,1542,3185.499557
9.0,1875,3207.765221
23.0,2883,3237.077748
22.0,3107,3279.987145
20.0,3050,3314.46855
17.0,2722,3343.250811
13.0,2130,3365.908473
20.0,2664,3394.854602
11.0,2059,3425.621457
13.0,2358,3453.475942
16.0,2625,3481.74672
15.0,1682,3499.267272
10.0,1917,3521.451245
15.0,2822,3550.543473
14.0,2284,3583.224797
14.0,2672,3612.311747
23.0,2006,3634.801212
18.0,2131,3657.692794
15.0,2818,3691.057468
22.0,3111,3734.188375
13.0,2112,3757.15705
16.0,1894,3775.081197
21.0,3049,3810.256414
14.0,2428,3837.927164
18.0,2517,3868.659556
21.0,3130,3902.429299
20.0,2384,3929.824128
19.0,2976,3959.168441
13.0,2258,3989.701579
22.0,3117,4042.726838
17.0,2326,4066.207348
21.0,2844,4100.18315
7.0,1015,4111.512803
14.0,2388,4140.133723
8.0,1709,4158.147095
19.0,3106,4206.29952
19.0,3052,4251.030508
7.0,1700,4273.536756
16.0,1787,4291.41767
15.0,2900,4324.456338
20.0,2583,4367.692589
9.0,1243,4383.499117
15.0,1547,4401.04853
26.0,3206,4435.281737
11.0,1791,4452.774236
14.0,1602,4471.193619
19.0,2568,4500.104637
17.0,1943,4531.087907
8.0,1791,4548.642913
14.0,2190,4575.615175
21.0,2433,4599.360721
25.0,3538,4641.414491
18.0,2842,4681.882421
19.0,2841,4715.156752
12.0,2484,4738.941481
11.0,2255,4766.162962
18.0,2442,4793.33228
17.0,1842,4827.24409
22.0,3356,4861.836482
15.0,2572,4891.038173
27.0,3696,4932.277069
21.0,3241,4977.392145
16.0,1830,5000.854155
13.0,2174,5026.042234
9.0,1854,5045.084635
14.0,2062,5069.72454
21.0,3050,5106.808155
28.0,3453,5157.649312
20.0,2030,5180.78489
19.0,2243,5205.608652
20.0,2756,5238.715773
19.0,2282,5263.814613
23.0,3394,5311.661601
20.0,2697,5340.718585
16.0,2654,5370.180586
20.0,3077,5407.08558
26.0,3554,5458.37839
12.0,1797,5478.110725
14.0,2743,5509.549345
13.0,2066,5534.248842
20.0,1978,5557.889136
17.0,2941,5605.451121
28.0,2925,5641.49862
13.0,2624,5679.91967
25.0,3444,5724.075591
11.0,2430,5749.085386
13.0,2448,5795.498688
23.0,2936,5832.091401
21.0,2852,5862.570949
22.0,2683,5892.122045
21.0,3112,5927.760551
13.0,2433,5966.473003
16.0,1843,5986.185431
20.0,3016,6021.830338
21.0,2820,6051.129992
29.0,3671,6100.479254
23.0,2689,6129.371252
20.0,2400,6157.541702
13.0,2530,6185.977817
25.0,3531,6225.561707
19.0,2330,6258.943462
14.0,2184,6281.841328
19.0,1561,6298.9289
16.0,2403,6322.424407
33.0,4482,6373.042699
33.0,4208,6439.093456
21.0,2674,6472.687788
17.0,2574,6505.164525
20.0,2958,6547.114384
25.0,3687,6604.329163
15.0,2380,6627.918507
17.0,2710,6665.149868
17.0,2026,6689.779755
22.0,3458,6741.271168
20.0,1751,6764.660687
22.0,3174,6810.134812
31.0,3152,6855.706235
22.0,2846,6893.960226
23.0,2279,6930.353596
21.0,2883,6964.681335
24.0,2393,6988.431649
18.0,1879,7010.450487
21.0,3252,7044.906128
20.0,2501,7081.892024
16.0,2536,7106.006286
16.0,1718,7128.441032
21.0,1839,7149.428209
23.0,2831,7178.726047
29.0,2913,7212.477643
25.0,3578,7260.326832
25.0,2465,7284.442763
11.0,2099,7307.477179
23.0,2807,7340.809623
44.0,3723,7391.39503
20.0,3008,7425.457307
20.0,2607,7454.184587
35.0,3835,7500.458924
14.0,2665,7553.98129
34.0,3687,7608.006862
26.0,3484,7660.973907
25.0,3198,7706.389507
24.0,3178,7756.902302
25.0,2641,7795.381721
23.0,2133,7824.953849
23.0,2135,7851.996975
16.0,1997,7876.672162
35.0,3458,7924.151821
29.0,2399,7958.36463
14.0,2530,7996.081011
22.0,2933,8031.452368
18.0,2780,8064.466325
26.0,2509,8099.804574
22.0,3245,8138.424393
10.0,2013,8156.841657
41.0,4973,8213.34367
21.0,2505,8254.070023
23.0,3526,8296.850468
21.0,3051,8335.529016
13.0,2599,8365.15276
19.0,3053,8411.805642
